1.  Seberapa sering Anda menggunakan WiFi kampus?,2. Berapa lama rata-rata Anda menggunakan WiFi kampus dalam sehari?,Bagaimana kualitas Wifi Kampus dalam menunjang kegiatan akademik [Kecepatan],Bagaimana kualitas Wifi Kampus dalam menunjang kegiatan akademik [Kestabilan],Bagaimana kualitas Wifi Kampus dalam menunjang kegiatan akademik [Aksesibilitas],Apakah kamu memanfaatkan Wifi kampus untuk menunjang kegiatan akademik [Kelas Online],Apakah kamu memanfaatkan Wifi kampus untuk menunjang kegiatan akademik [Belajar],Apakah kamu memanfaatkan Wifi kampus untuk menunjang kegiatan akademik [Mengerjakan tugas],"Dengan Wifi yang mendukung, apakah kamu lebih termotivasi dalam mengikuti kegiatan akademik [Kelas Online]","Dengan Wifi yang mendukung, apakah kamu lebih termotivasi dalam mengikuti kegiatan akademik [Belajar]","Dengan Wifi yang mendukung, apakah kamu lebih termotivasi dalam mengikuti kegiatan akademik [Mengerjakan Tugas]",Apa kamu puas dengan fasilitas Wifi di kampus [Kecepatan],Apa kamu puas dengan fasilitas Wifi di kampus [Kestabilan],Apa kamu puas dengan fasilitas Wifi di kampus [Aksesibilitas]
3-5 kali seminggu,1 - 3 Jam,Bagus,Bagus,Tidak Bagus,Sering,Selalu,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Puas,Puas,Tidak Puas
3-5 kali seminggu,> 6 Jam,Tidak Bagus,Netral,Tidak Bagus,Sering,Sering,Sering,Setuju,Setuju,Setuju,Tidak Puas,Sangat Tidak Puas,Tidak Puas
1-2 kali seminggu,< 1 Jam,Netral,Netral,Netral,Jarang,Selalu,Terkadang,Netral,Setuju,Netral,Puas,Puas,Netral
3-5 kali seminggu,> 6 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Sering,Tidak Pernah,Terkadang,Netral,Netral,Netral,Netral,Tidak Puas,Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Netral,Tidak Bagus,Netral,Terkadang,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Tidak Puas,Netral
3-5 kali seminggu,4 - 6 Jam,Tidak Bagus,Tidak Bagus,Bagus,Jarang,Sering,Jarang,Setuju,Setuju,Setuju,Puas,Tidak Puas,Puas
Setiap Hari,> 6 Jam,Netral,Netral,Tidak Bagus,Jarang,Jarang,Selalu,Netral,Netral,Netral,Netral,Netral,Tidak Puas
3-5 kali seminggu,1 - 3 Jam,Netral,Netral,Netral,Jarang,Terkadang,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral
3-5 kali seminggu,4 - 6 Jam,Bagus,Netral,Bagus,Jarang,Selalu,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Puas,Tidak Puas,Puas
Setiap Hari,> 6 Jam,Tidak Bagus,Tidak Bagus,Netral,Jarang,Terkadang,Terkadang,Netral,Netral,Netral,Tidak Puas,Tidak Puas,Tidak Puas
Setiap Hari,> 6 Jam,Netral,Netral,Netral,Sering,Sering,Sering,Setuju,Setuju,Setuju,Netral,Netral,Netral
Jarang,< 1 Jam,Netral,Netral,Bagus,Jarang,Terkadang,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Puas
3-5 kali seminggu,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Terkadang,Sering,Jarang,Setuju,Setuju,Setuju,Tidak Puas,Tidak Puas,Netral
3-5 kali seminggu,4 - 6 Jam,Bagus,Bagus,Bagus,Sering,Sering,Sering,Setuju,Setuju,Setuju,Puas,Puas,Puas
3-5 kali seminggu,4 - 6 Jam,Sangat Tidak Bagus,Tidak Bagus,Sangat Tidak Bagus,Tidak Pernah,Sering,Terkadang,Setuju,Setuju,Setuju,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
3-5 kali seminggu,1 - 3 Jam,Sangat Tidak Bagus,Tidak Bagus,Bagus,Terkadang,Sering,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Puas,Sangat Tidak Puas,Netral
Jarang,< 1 Jam,Netral,Tidak Bagus,Netral,Terkadang,Tidak Pernah,Tidak Pernah,Netral,Netral,Netral,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Netral,Bagus,Netral,Jarang,Terkadang,Jarang,Setuju,Setuju,Setuju,Puas,Puas,Puas
